Row,CPUUtilization_Average,NetworkIn_Average,NetworkOut_Average,MemoryUtilization_Average,Final_Target
13564,24,179024533,168676576,29.78214531,25.81268437
13565,26,219238074,205785404,26.63583812,25.39244496
13566,25,180695300,175448774,44.2314601,33.22740212
13567,32,168571681,159650072,33.79918164,31.32211456
13568,20,122129008,117280473,30.95881027,24.28135222
13569,20,157496174,153337942,27.92727411,23.1135793
13570,31,253717054,234950990,36.25740497,32.05513123
13571,32,171221545,135850533,50.58667458,39.46113203
13572,30,234713170,216834022,40.98080016,34.27590217
13573,20,174883094,172562244,31.449701,24.89806532
13574,30,240429897,241965249,33.887017,30.71230708
13575,7,92795880,100182267,35.39994763,20.32544635
13576,22,122854042,122272852,40.25308841,30.09106279
13577,27,146895650,139944139,42.31188492,33.3900834
13578,28,194841706,194787015,32.0314444,28.76849207
13579,9,100065697,98581880,20.00928123,13.94801471
13580,11,49935060,49185795,19.48123853,14.69647793
13581,32,127193282,117628819,34.06476362,31.46829749
13582,30,193670862,188156391,30.53413819,29.05075704
13583,30,130458023,122567917,48.79963376,37.81261085
13584,21,202809603,184038238,40.07217102,29.38502112
13585,26,106722192,93192307,38.16839837,30.77634609
13586,21,88349240,80867247,35.57206118,27.35176657
13587,4,80198765,81558222,16.93443326,10.45491398
13588,22,140922927,138980909,16.53770917,18.76917833
13589,31,111379809,128772721,35.64948299,31.87692369
13590,33,229932702,210748013,47.68172802,38.48423479
13591,18,161307028,152820306,16.33895673,16.49189748
13592,17,88804313,88276870,30.36530197,22.73989173
13593,30,218747741,198207624,36.12767193,31.94045651
13594,27,99049675,85945427,52.95210338,38.07170462
13595,20,131574222,139848628,28.64166783,23.51960424
13596,30,175654756,167078356,47.62874455,37.05933787
13597,20,203571035,188755411,34.36743431,26.09352472
13598,24,137316430,125871577,61.74477015,41.02529787
13599,26,267859108,255020859,22.71407422,23.60155517
13600,25,123531304,124123138,38.0875993,30.23289913
13601,27,167147329,147068796,26.99991074,25.71233076
13602,31,176197521,160466418,42.4626445,35.33362503
13603,19,64186454,58364056,27.30007572,22.38723172
13604,12,32008080,27334483,35.83999875,23.10726627
13605,28,152490311,138669955,54.40984807,39.26388531
13606,29,175406544,161014099,41.51470797,33.97091407
13607,28,212941597,217148584,21.37859815,23.73773778
13608,20,122920750,107522765,46.0240134,31.52222345
13609,9,65794497,59685027,38.78196409,23.1138449
13610,18,169865203,159093590,29.53970406,22.70283388
13611,16,158067373,150659919,26.28867048,20.44981448
13612,21,120706615,114293476,23.65544527,21.46569301
13613,24,74980085,71319449,39.53388204,30.60551435
13614,25,136075873,119109495,38.7423785,30.54699001
13615,31,199782637,186263596,15.90322096,22.46504617
13616,28,141259485,136471463,48.32510227,36.40098206
13617,24,178810592,177407255,19.01932277,20.75382181
13618,23,166217770,155069104,26.8222989,23.93467799
13619,21,176141473,162263161,20.27810561,19.98772609
13620,31,152827732,146685019,35.12986101,31.4614412
13621,26,153988184,147008698,32.28497766,28.16306957
13622,24,69518164,62144235,19.14487342,20.71687277
13623,28,93260549,98474900,21.75886584,23.67249459
13624,12,67953383,74227370,24.8441788,17.83430416
13625,16,89919301,92127118,40.7203006,27.28342748
13626,28,150455787,140686628,38.51643805,32.10339712
13627,31,149744917,143733182,39.87199396,34.14532084
13628,32,167217046,155710665,50.22831169,39.44869788
13629,33,230222050,223226730,39.4141162,34.48234971
13630,18,105450333,98957744,39.65919232,27.68898576
13631,21,204574804,187663055,40.72488685,29.80605958
13632,23,176269315,165642825,37.09818643,29.04918985
13633,24,126002746,124417409,46.75605531,34.06901458
13634,29,116103252,107551856,31.14433271,28.6193505
13635,27,182121865,159659400,48.93052312,36.59899495
13636,27,115474048,106607977,41.1185417,32.48353728
13637,25,124183879,115679772,37.86234952,30.31008438
